"","screenname","tweets"
"41","tjurman","RT @pdesmondadams: Does @realDonaldTrump have a chance for #Election2016 victory? Either way, he wins, of course. http://t.co/helSx2VtUP"
"42","ForPotus","Trump in fight with Border Patrol union over Texas visit | The Fiscal Times http://t.co/X1qdAn2hDh @RealDonaldTrump  #Election2016"
"43","TheUSALifeStyle","@RNRNevada @realDonaldTrump: @GOP #Election2016 (it will happen) GOP MUST SUPPORT Donald Trump #GOP #Politics http://t.co/GVmyys1g31"""
"44","TheUSALifeStyle","@Patriotic_Me @realDonaldTrump: @GOP #Election2016 (it will happen) GOP MUST SUPPORT Donald Trump #GOP #Politics http://t.co/GVmyys1g31"""
"45","dAamDeMarco53","RT @ChakerKhazaal: What happened to respect @realDonaldTrump? http://t.co/aGQomGQNbN via @HuffPostPol on #Election2016 #Hillary2016 #Trump2016"
"46","JonNeighbors","Provocative image of @realDonaldTrump sporting his iconic look. #GOP #DonaldTrump #Election2016 http://t.co/ZWaUR0PN2b"
"47","ipoliticglobal","If @realDonaldTrump polling indicate anything its that @GOP voters like a bully #Election2016 #news"
"48","atlaswon","@realDonaldTrump #trumpforpresident #election2016 Mr. Trump giving up a few deals, to help America get the best deal! #vote Tweet ur support"
"49","peggzcarter","RT @LatinoBeatz: @AmericaFerrera follows @ChingoBling 's #openletter to @realDonaldTrump http://t.co/NGF32QXOgq #WakeupLatinos #Election2016 #LatinosUnidos"
"50","POLSColumbus","RT @BNNDailyPoll: Is @realDonaldTrump v. @HillaryClinton inevitable? #Election2016"
"51","POLSTulsa","RT @BNNDailyPoll: Is @realDonaldTrump v. @HillaryClinton inevitable? #Election2016"
"52","iamdespicable1","Ivanka and I love you all #SouthCarolina! Good night! @realDonaldTrump #Election2016 #tcot #tlot #p2"
"53","DannyByersII","@realDonaldTrump on #thisweek tells @GStephanopoulos he will not release his tax returns anytime soon. Will his sheeple care? #election2016"
"54","BoyleSportsLG","@realDonaldTrump 33/1 to punch someone in the face during his 2016 presidential campaign #election2016 #Trump2016 https://t.co/mIQUfgZM3b"
"55","AngeloFactsOnly","RT @TexasTribune: UT/TT Poll: @TedCruz leads @realDonaldTrump in Texas; @marcorubio lags behind. https://t.co/hF4ulmryjC #Election2016"
"56","LibertyMommy","RT @TexasTribune: UT/TT Poll: @TedCruz leads @realDonaldTrump in Texas; @marcorubio lags behind. https://t.co/hF4ulmryjC #Election2016"
"57","gg2g3d2","RT @TexasTribune: UT/TT Poll: @TedCruz leads @realDonaldTrump in Texas; @marcorubio lags behind. https://t.co/hF4ulmryjC #Election2016"
"58","StoutenburgJeff","RT @TexasTribune: UT/TT Poll: @TedCruz leads @realDonaldTrump in Texas; @marcorubio lags behind. https://t.co/hF4ulmryjC #Election2016"
"59","allgringo","RT @CNBCopinion: Why @realDonaldTrump is winning with evangelical voters https://t.co/XUSfxq1P8C #Election2016 https://t.co/7A5HfV4R22"
"60","cbseivard","@realDonaldTrump Where will the Bush $$ go? They can't buy Trump, spending on Cruz or Rubio is a waste. I bet Senate races. #Election2016"
"61","MikeWickline","RT @NoelEOman: .@realDonaldTrump back to Arkansas? Event at XNA listed for Saturday https://t.co/17GzEwGun7 #ARnews #arpx #Election2016"
"62","TrumpTicker","Reports that @realDonaldTrump may declare early victory in Nevada tonight.  #NVcaucus #Election2016 #Trump2016"
"63","SoleePatriot","@realDonaldTrump Trump Trump Trump Trump #TrumpTrain #Election2016 #America #nevedacaucus"
"64","karenan29064381","RT @FrenchForTrump: TIME TO STAND BEHIND @realDonaldTrump 
VOTE FOR #TRUMP2016
WIN #ELECTION2016 WITH #TRUMP 
#NevadaCaucus #VoteTrumpNV ht…"
"65","RossRantsDotCom","@realDonaldTrump
From The Hill: Liberals, Stop Helping #Trump
https://t.co/dRDX3oVUsh
#Election2016 #Nevada #DonaldTrump #antitrump"
"66","bigbadwolvez","RT @PSA_Paperboy: I'm just waitin for @realDonaldTrump to announce @REALStaceyDash as his VP running mate. #Election2016"
"67","BiggestNYfan","RT @TheBigVote16: It's to time #ShowMeTheMoney! @realDonaldTrump America wants to see your tax returns. #Election2016 #GOP https://t.co/MnZ…"
"68","paulmotty","#Election2016 Bet update: Taking cover as @realDonaldTrump nomination looks inevitable https://t.co/vDtD8II6xG https://t.co/40FyV3m02e"
"69","ActivistFreak","@EarlyStart @JohnBerman @ChristineRomans R we surprised?  The definitive reason @realDonaldTrump is doing so well is MEDIA. #Election2016"
"70","InuKey","The #GOP = Titanic, Iceberg = @realDonaldTrump  #Election2016"
"71","smokingGOP","@realDonaldTrump is a #liar #racist #traitor
He loved the Clintons. Hates Obama. #racismliveshere 
Vote for @marcorubio #Election2016"
"72","stoptrumpusa","@realDonaldTrump says he gets audited by the #IRS because he is a strong #Christian. | Ha! Please... #GOPDebate #Election2016 #StopTrumpNow"
"73","KittsNews","RT ReutersTV: VERBATIM: TedCruz, MarcoRubio tag team realDonaldTrump on security #election2016 … https://t.co/jtR80mSzW2"
"74","kakeenan","RT @beccastripe: #BREAKING: Chris Christie just endorsed Donald Trump. #Election2016 @ChrisChristie @realDonaldTrump"
"75","labell49","@MSNBC @realDonaldTrump #Election2016 If the world rights itself again, there will be MORE protestors then Trump SUPPORTERS"
"76","politified","RT @rjc411: #GOP #Election2016 by the numbers. #NeverTrump banks on these scenarios. So does #TrumpTrain #Trump @realDonaldTrump https://t.…"
"77","rjc411","@realDonaldTrump campaign straight out of @KarlRove playbook. #Gop you lie down with dogs and you get fleas. #NeverTrump #Election2016"
"78","giamps78","Diatribe @Pontifex_it - @realDonaldTrump : No to the walls, not the jus soli https://t.co/z7QjrAeBGI

 #Election2016 #MakeAmericaGreatAgain"
"79","mamarakle","Not surprising that @realDonaldTrump is sharing racist tweets: https://t.co/62tRzANGbt #FeelTheBern #NeverTrump #Election2016"
"80","kaosflutterby","@realDonaldTrump This cannot be the the Presidential Race #Election2016 AWFUL!!!!!!!!!!!!!!!"
"81","Primameka","@MichaelSkolnik Agreed! @realDonaldTrump  If you can't handle an interview question, you can't get the job. #interviewing101 #Election2016"
"82","AudraPLewis","@NerdyNegress @realDonaldTrump Beyond disgusting and scary! Those ppl are his base. He is such a sideshow! #Election2016"
"83","astradaemon","So, @marcorubio is going to discredit @realDonaldTrump by acting like Trump? That's his new strategy? #Election2016 https://t.co/acTKlwragM"
"84","CodeCycleGreen","#NeverTrump The country is carrying around a Binder Full of Disqualifications to study. @realDonaldTrump @MittRomney #Election2016 #GOP"
"85","TimelyTopics","Today proves #CorporateMedia will now try to convince us @SenSanders and @realDonaldTrump are equally crazy long shots. #Election2016"
"86","rlhamon","I'm waiting for @realDonaldTrump dick size to be fact checked. #GOP #Election2016"
"87","joehaber2","@HillaryClinton wow really @realDonaldTrump @cnn #Election2016"
"88","NepentheRay","RT @clarionledger: #ICYMI: Group of Mississippi lawmakers supports @realDonaldTrump #msleg #Election2016 (via @jgatesnews) https://t.co/27X…"
"89","CSGO_Loyal","RT @KitDaniels1776: Report: Cruz Next to Exit Race https://t.co/l4JBSUL8bU @DRUDGE @realDonaldTrump #Election2016 Please RT! https://t.co/b…"
"90","trojan_roo","RT @ReutersTV: Reporter choked at @realDonaldTrump rally #election2016 https://t.co/58rfLZ9I33"
"91","LeeCanapetti","Watching @FoxNews literally pushing to destroy @realDonaldTrump. A conservative network pushing for establishment. #Election2016"
"92","otunbact","RT @ReutersTV: Reporter choked at @realDonaldTrump rally #election2016  https://t.co/x2U0GnzCPk via @Reuters"
"93","TravisBerg95",".@realDonaldTrump running and winning the Presidential #Election2016. https://t.co/8T5cLmP8IB"
"94","MiddleAmericaMS","RT @ReutersTV: Reporter choked at @realDonaldTrump rally #election2016 https://t.co/58rfLZ9I33"
"95","Cizausaks","RT @nwiakr: RETWEET if you are NOT voting for @realDonaldTrump. #Election2016"
