timestamp,Screenname,text
2017-04-05 18:59:55 +0000,MerolaTile,RT @ToniSabStyle: The tile around window is beauteousness from @artistic_tile #kbtribechat #tiletoceiling #TILEITALL! https://t.co/O7VCBCrtâ€_
2017-04-05 18:59:33 +0000,MerolaTile,RT @cabinetmakers: #KBtribechat - A1 - The use of patterned wall tiles is a fun trend. They make this bathroom! https://t.co/kbd3L5VUa2
2017-04-05 18:59:16 +0000,MerolaTile,RT @RTACabinetStore: Loving this aged wood. _Ÿ˜ç https://t.co/LoZpkZI92L https://t.co/GpKm882wOp
2017-04-05 18:58:47 +0000,MerolaTile,RT @REVASHELF: A3) We tend to find #tile #designs easily on Pinterest. Like this beaut _Ÿ˜__Ÿ˜ç #kbtribechat https://t.co/3OgdedeIzh
2017-04-05 16:01:50 +0000,MerolaTile,This bright kitchen belongs to an eclecctic house full of fun surprises! https://t.co/n053gt1jV5 #houzz #interiordesign https://t.co/dzGxuDTkQa
2017-04-05 14:01:33 +0000,MerolaTile,In case you missed this gorgeous installation of Galaxy Bronze Hex yesterday...here's a close up :) https://t.co/P9YOAN2zG6 #interiordesign https://t.co/v3GbQtAT7l
2017-04-04 19:01:14 +0000,MerolaTile,Where would you use these wood-look hex tiles? https://t.co/7ALlhhQfdr #interiordesign #tiles https://t.co/ADtyyNFFcc
2017-04-04 18:01:16 +0000,MerolaTile,"Our new arrival, States, is a beautiful carrara-look porcelain tile! These marble tiles never go out of style! #interiordesign #tiles https://t.co/bB4kws5bCz"
2017-04-04 16:01:26 +0000,MerolaTile,How would you use Galaxy Bronze Hex? We're digging this install by Ken Kelly! https://t.co/YkOV39rZa9 #interiordesign #kitchens https://t.co/A2SyhvrGME
2017-04-04 14:01:20 +0000,MerolaTile,A must-see Brooklyn apartment full of industrial charm! https://t.co/VXEnAizjGF #houzz #interiordesign https://t.co/doF5AD9gc2
2017-03-31 20:52:32 +0000,MerolaTile,Gorgeous mosaic wall #interiordesign https://t.co/D2Tjf5O7b3
2017-03-31 20:35:31 +0000,MerolaTile,RT @ColorflyHome: How to stop your living room from looking datedâ€”No renos needed: https://t.co/jAS4xeIcEU via @mydomaine #interiors https:â€_
2017-03-31 16:01:52 +0000,MerolaTile,See this beautiful NZ country home turned into a modern showcase!  https://t.co/1k4MSuriwI #houzz #interiordesign https://t.co/Aeo6eGF347
2017-03-31 14:30:47 +0000,MerolaTile,Last of the Marble Mosaics for this week! Super bold design that would be a fun addition to a powder room or foyer. https://t.co/mtsgOZYqG6 https://t.co/AWDT2l49kx
2017-03-30 19:01:44 +0000,MerolaTile,Wild 6x24s are on the way! What are your thoughts on this untamed porcelain plank? #interiordesign #design https://t.co/9uOaAf9L2A https://t.co/HEaDLIdnrm
2017-03-30 16:01:54 +0000,MerolaTile,"Super streamlined townhouse is a must see for those who love classic, timeless style! https://t.co/zoixOmf4Ql #houzz #interiordesign https://t.co/UDat4sFtMF"
2017-03-30 14:01:48 +0000,MerolaTile,How would you use this contemporary glass mosaic? RT with your design ideas! #interiordesign #interiors https://t.co/JEzXXpP19p https://t.co/j3mClU0kUf
2017-03-29 19:01:48 +0000,MerolaTile,What's your favorite type of marble mosaic? This is the trendy arabesque shape--we love it! #interiordesign https://t.co/M5l3frU7wd https://t.co/pXFnhqrpA1
2017-03-29 16:01:54 +0000,MerolaTile,"For those on a budget, this simple yet stylish Copenhagen apartment is so inspiring! https://t.co/h5R5dfY259 #houzz #interiordesign https://t.co/gWimNSIyVj"
2017-03-29 14:20:16 +0000,MerolaTile,RT @MerolaTileNY: Please RT if you would use Galaxy Hex Bronze as a back splash! https://t.co/TGOr4QBEaK #interiordesign https://t.co/yOs4Lâ€_
2017-03-29 14:01:25 +0000,MerolaTile,RT with a description of where you'd use this Chevron Marble Mosaic! #interiors #interiordesign https://t.co/K3SclksV92 https://t.co/8XTZHZLT0P
